date,Open,Low,High,Close,Volume
2020-01-02 09:30:00,323.54,323.41,324.0,323.87,3583238
2020-01-02 09:45:00,323.87,323.57,324.03,323.87,2908107
2020-01-02 10:00:00,323.87,323.09,323.9,323.12,1810195
2020-01-02 10:15:00,323.12,322.61,323.12,323.02,2996731
2020-01-02 10:30:00,323.01,322.6681,323.04,322.905,1063232
2020-01-02 10:45:00,322.9,322.65,323.32,323.25,1264266
2020-01-02 11:00:00,323.26,323.16,323.36,323.35,1017590
2020-01-02 11:15:00,323.35,323.12,323.35,323.17,1371580
2020-01-02 11:30:00,323.18,322.53,323.18,322.9392,1700113
2020-01-02 11:45:00,322.93,322.86,323.1,323.05,1214719
2020-01-02 12:00:00,323.06,322.92,323.15,323.07,841524
2020-01-02 12:15:00,323.07,323.02,323.2994,323.15,968947
2020-01-02 12:30:00,323.15,323.13,323.46,323.37,877415
2020-01-02 12:45:00,323.37,323.28,323.4,323.36,919347
2020-01-02 13:00:00,323.365,323.06,323.37,323.07,1256670
2020-01-02 13:15:00,323.07,323.02,323.16,323.0918,770254
2020-01-02 13:30:00,323.1,322.96,323.1178,323.01,633647
2020-01-02 13:45:00,323.01,323.01,323.19,323.165,1074235
2020-01-02 14:00:00,323.17,323.13,323.33,323.325,1779423
2020-01-02 14:15:00,323.33,323.26,323.61,323.53,1750199
2020-01-02 14:30:00,323.54,323.5,323.83,323.805,1743599
2020-01-02 14:45:00,323.805,323.72,323.87,323.78,1528011
2020-01-02 15:00:00,323.78,323.72,323.92,323.85,1514894
2020-01-02 15:15:00,323.85,323.76,323.94,323.88,1786775
2020-01-02 15:30:00,323.885,323.83,324.13,324.1,2752548
2020-01-02 15:45:00,324.095,324.01,324.85,324.84,8845136
2020-01-03 09:30:00,321.16,321.1,322.94,322.88,5632020
2020-01-03 09:45:00,322.89,322.42,322.95,322.745,4077124
2020-01-03 10:00:00,322.61,322.03,322.74,322.6599,4059569
2020-01-03 10:15:00,322.66,322.215,322.88,322.77,2214288
2020-01-03 10:30:00,322.78,322.59,323.08,323.0154,1816506
2020-01-03 10:45:00,323.01,322.4,323.1,322.5,2492070
2020-01-03 11:00:00,322.5,322.12,322.58,322.53,1212588
2020-01-03 11:15:00,322.52,322.37,322.745,322.63,913908
2020-01-03 11:30:00,322.64,322.57,323.01,322.995,1596317
2020-01-03 11:45:00,322.9969,322.95,323.23,323.1378,1180606
2020-01-03 12:00:00,323.14,323.12,323.59,323.22,1661420
2020-01-03 12:15:00,323.21,323.21,323.41,323.29,1200653
2020-01-03 12:30:00,323.3,323.26,323.59,323.51,935707
2020-01-03 12:45:00,323.51,323.335,323.64,323.415,1170320
2020-01-03 13:00:00,323.42,323.395,323.55,323.44,665025
2020-01-03 13:15:00,323.43,323.2,323.47,323.39,1711189
2020-01-03 13:30:00,323.39,322.32,323.4499,322.96,4132849
2020-01-03 13:45:00,322.95,322.81,323.15,322.94,1187537
2020-01-03 14:00:00,322.94,322.59,323.09,322.64,1673143
2020-01-03 14:15:00,322.63,322.57,322.87,322.86,828332
2020-01-03 14:30:00,322.8523,322.76,323.08,323.05,679175
2020-01-03 14:45:00,323.06,322.97,323.31,323.25,1320413
2020-01-03 15:00:00,323.25,323.15,323.55,323.2,2071333
2020-01-03 15:15:00,323.205,322.79,323.23,322.8446,2503196
2020-01-03 15:30:00,322.84,322.47,322.87,322.76,2949339
2020-01-03 15:45:00,322.77,322.42,323.08,322.44,8284668
2020-01-06 09:30:00,320.49,320.36,321.43,321.36,4115412
